id_atendimento,id_cliente,id_servico,data_atendimento,status,tempo_dias,valor_final
1,6930,3,2023-11-19,Pendente,0,0
2,930,5,2023-10-10,Cancelado,0,0
3,8501,2,2023-11-04,Pendente,0,0
4,9107,1,2023-09-15,Concluído,4,246
5,3545,5,2023-08-15,Pendente,0,0
6,4371,4,2023-12-15,Cancelado,0,0
7,6711,3,2023-08-03,Cancelado,0,0
8,3184,5,2023-12-24,Concluído,2,212
9,7759,1,2023-07-26,Pendente,0,0
10,2726,2,2023-10-14,Concluído,2,170
11,9942,2,2023-01-15,Cancelado,0,0
12,667,4,2023-09-05,Cancelado,0,0
13,4201,1,2023-04-21,Concluído,1,157
14,5267,1,2023-08-17,Concluído,4,205
15,5792,2,2023-06-16,Concluído,5,315
16,1658,2,2023-07-02,Concluído,6,314
17,9751,2,2023-03-26,Cancelado,0,0
18,2900,3,2023-06-10,Concluído,3,162
19,1537,1,2023-07-28,Concluído,4,219
20,6173,5,2023-07-25,Cancelado,0,0
21,5301,2,2023-02-18,Concluído,3,245
22,8920,3,2023-02-21,Concluído,3,193
23,1462,3,2023-07-25,Pendente,0,0
24,2363,5,2023-07-06,Pendente,0,0
25,5035,5,2023-04-07,Cancelado,0,0
26,1224,2,2023-04-25,Concluído,1,189
27,9162,4,2023-09-06,Pendente,0,0
28,1980,3,2023-12-02,Cancelado,0,0
29,5471,3,2023-10-19,Concluído,5,216
30,9717,1,2023-09-26,Pendente,0,0
31,2688,1,2023-03-17,Concluído,5,274
32,7770,2,2023-08-20,Cancelado,0,0
33,4067,4,2023-05-11,Concluído,4,329
34,9781,4,2023-04-18,Pendente,0,0
35,4824,2,2023-09-14,Cancelado,0,0
36,3580,1,2023-07-29,Cancelado,0,0
37,924,5,2023-05-28,Pendente,0,0
38,415,5,2023-12-14,Concluído,7,209
39,3994,2,2023-06-01,Concluído,1,192
40,8351,1,2023-07-20,Pendente,0,0
41,9593,4,2023-04-25,Cancelado,0,0
42,4174,5,2023-12-14,Concluído,5,158
43,8235,4,2023-12-18,Concluído,1,286
44,665,4,2023-08-09,Concluído,7,298
45,3505,1,2023-03-05,Concluído,4,240
46,3618,1,2023-11-15,Concluído,6,344
47,8553,5,2023-10-09,Concluído,6,271
48,5565,2,2023-07-09,Pendente,0,0
49,1913,5,2023-10-14,Concluído,2,193
50,1404,1,2023-04-22,Pendente,0,0
51,2418,1,2023-10-12,Concluído,5,259
52,9364,1,2023-02-14,Concluído,3,331
53,8256,4,2023-05-26,Cancelado,0,0
54,2175,5,2023-09-19,Concluído,4,311
55,7132,2,2023-06-26,Pendente,0,0
56,4326,5,2023-07-13,Cancelado,0,0
57,3516,2,2023-02-23,Cancelado,0,0
58,8725,5,2023-08-25,Concluído,3,329
59,6113,3,2023-05-04,Cancelado,0,0
60,9323,4,2023-12-14,Cancelado,0,0
61,454,1,2023-09-15,Cancelado,0,0
62,3568,4,2023-09-23,Concluído,6,163
63,1896,2,2023-11-15,Cancelado,0,0
64,5639,4,2023-03-05,Cancelado,0,0
65,5402,2,2023-03-24,Concluído,2,298
66,7721,3,2023-08-19,Concluído,4,237
67,4298,1,2023-05-17,Cancelado,0,0
68,3585,5,2023-02-06,Concluído,5,179
69,5904,5,2023-08-28,Concluído,1,285
70,8467,5,2023-06-14,Concluído,4,177
71,1840,4,2023-09-10,Pendente,0,0
72,4505,4,2023-04-24,Concluído,3,208
73,465,4,2023-09-06,Cancelado,0,0
74,5144,5,2023-06-22,Concluído,5,217
75,1289,5,2023-12-06,Concluído,6,213
76,4946,3,2023-01-08,Cancelado,0,0
77,7118,1,2023-06-14,Pendente,0,0
78,3265,3,2023-03-25,Concluído,5,201
79,5032,4,2023-01-23,Pendente,0,0
80,5913,1,2023-06-29,Concluído,7,181
81,8815,3,2023-03-10,Pendente,0,0
82,1785,1,2023-12-13,Cancelado,0,0
83,5975,2,2023-07-29,Cancelado,0,0
84,4354,3,2023-01-16,Pendente,0,0
85,7325,4,2023-05-20,Pendente,0,0
86,1530,1,2023-02-24,Concluído,4,287
87,3467,1,2023-08-19,Pendente,0,0
88,3536,2,2023-01-26,Pendente,0,0
89,6037,5,2023-02-11,Cancelado,0,0
90,1176,1,2023-02-19,Cancelado,0,0
91,1945,3,2023-12-11,Concluído,1,284
92,5605,1,2023-04-13,Concluído,7,256
93,9360,4,2023-08-28,Concluído,4,193
94,4160,4,2023-11-25,Cancelado,0,0
95,2138,1,2023-01-23,Concluído,3,250
96,8570,4,2023-11-09,Concluído,3,276
97,8408,1,2023-05-19,Cancelado,0,0
98,8022,2,2023-02-09,Concluído,4,324
99,2512,5,2023-06-22,Cancelado,0,0
100,1923,4,2023-10-16,Concluído,5,235
101,6658,2,2023-09-16,Pendente,0,0
102,8716,2,2023-08-28,Concluído,1,293
103,9647,4,2023-02-26,Cancelado,0,0
104,9549,4,2023-04-25,Pendente,0,0
105,6285,1,2023-07-28,Concluído,2,275
106,7340,3,2023-01-04,Pendente,0,0
107,7728,2,2023-09-09,Concluído,7,318
108,4839,3,2023-07-01,Concluído,6,325
109,4867,2,2023-04-17,Concluído,6,152
110,321,3,2023-01-13,Cancelado,0,0
111,3910,2,2023-05-17,Cancelado,0,0
112,7229,4,2023-08-04,Pendente,0,0
113,1406,4,2023-12-26,Concluído,3,237
114,3505,4,2023-05-01,Concluído,2,271
115,2671,4,2023-09-01,Concluído,2,222
116,374,5,2023-10-27,Concluído,4,258
117,3797,2,2023-05-12,Cancelado,0,0
118,2276,5,2023-07-15,Pendente,0,0
119,3510,4,2023-12-19,Cancelado,0,0
120,4242,4,2023-12-13,Cancelado,0,0
121,9516,2,2023-09-09,Cancelado,0,0
122,8618,1,2023-03-27,Concluído,6,175
123,4210,4,2023-03-21,Cancelado,0,0
124,6144,1,2023-05-07,Cancelado,0,0
125,6295,3,2023-09-04,Cancelado,0,0
126,6156,2,2023-05-24,Pendente,0,0
127,5212,5,2023-11-19,Cancelado,0,0
128,8622,1,2023-04-13,Cancelado,0,0
129,6039,3,2023-05-22,Concluído,1,250
130,7606,2,2023-11-11,Pendente,0,0
131,2008,2,2023-03-29,Concluído,3,223
132,695,4,2023-01-06,Pendente,0,0
133,6531,2,2023-02-15,Concluído,7,254
134,821,4,2023-08-24,Pendente,0,0
135,428,5,2023-10-18,Cancelado,0,0
136,6358,4,2023-05-26,Pendente,0,0
137,3126,5,2023-11-02,Cancelado,0,0
138,8713,4,2023-01-31,Concluído,6,211
139,5878,2,2023-03-03,Concluído,2,204
140,1000,1,2023-11-07,Pendente,0,0
141,9384,4,2023-07-10,Pendente,0,0
142,8353,5,2023-01-10,Pendente,0,0
143,1769,4,2023-08-19,Cancelado,0,0
144,3575,4,2023-05-24,Concluído,6,195
145,7421,4,2023-03-11,Concluído,5,259
146,4228,5,2023-08-14,Concluído,4,320
147,5822,3,2023-12-09,Cancelado,0,0
148,9068,3,2023-08-09,Cancelado,0,0
149,882,3,2023-11-20,Pendente,0,0
150,8268,3,2023-07-05,Concluído,3,314
151,5403,5,2023-08-24,Concluído,1,346
152,2182,3,2023-08-30,Cancelado,0,0
153,5055,4,2023-06-10,Concluído,4,280
154,6753,1,2023-01-31,Concluído,2,314
155,3675,5,2023-06-28,Cancelado,0,0
156,2494,3,2023-10-05,Pendente,0,0
157,8933,3,2023-06-08,Pendente,0,0
158,7771,4,2023-03-12,Concluído,5,254
159,582,2,2023-08-15,Pendente,0,0
160,2540,5,2023-01-03,Pendente,0,0
161,5444,4,2023-12-28,Concluído,6,165
162,8864,2,2023-03-04,Pendente,0,0
163,5098,3,2023-09-29,Pendente,0,0
164,3955,4,2023-07-31,Pendente,0,0
165,825,3,2023-09-25,Concluído,4,290
166,5111,5,2023-09-10,Pendente,0,0
167,6457,1,2023-06-16,Concluído,6,276
168,8117,4,2023-07-11,Cancelado,0,0
169,1736,4,2023-01-20,Concluído,4,253
170,7208,1,2023-03-21,Cancelado,0,0
171,5363,4,2023-06-11,Cancelado,0,0
172,6301,3,2023-03-23,Concluído,4,197
173,7901,5,2023-06-18,Concluído,6,201
174,6863,3,2023-05-24,Cancelado,0,0
175,819,4,2023-05-31,Cancelado,0,0
176,4411,1,2023-04-24,Pendente,0,0
177,6406,5,2023-10-20,Concluído,1,343
178,9492,5,2023-08-26,Pendente,0,0
179,5044,3,2023-11-30,Cancelado,0,0
180,5827,5,2023-12-03,Pendente,0,0
181,6686,1,2023-08-08,Concluído,7,194
182,4115,4,2023-06-01,Cancelado,0,0
183,3098,1,2023-02-13,Concluído,6,204
184,6264,5,2023-03-17,Pendente,0,0
185,5699,1,2023-01-29,Cancelado,0,0
186,2757,4,2023-02-01,Concluído,5,240
